run,imp,exit_code,theta_1,gamma_1,e_1,lnL,converged,combo,rep
274,1,3,0.00258719934842215,-0.033456233275536,0.0565640327698812,20975.8607721929,True,n100_g0_e0.05,100
389,1,3,0.00252382011577747,-0.0436045558293327,0.0445915454857791,20361.6253625591,True,n100_g0_e0.05,10
114,1,3,0.00250856440790775,0.0445852168072578,0.0556047305547474,20436.918056761,True,n100_g0_e0.05,11
52,1,3,0.00257980340720898,-0.0597134848872467,0.0625235054216008,20760.1030365503,True,n100_g0_e0.05,12
359,1,3,0.00246074965516707,0.0750758382190236,0.0466652257132462,20078.7482638821,True,n100_g0_e0.05,13
199,1,3,0.00249395719575162,-0.00985375447811459,0.0413977561208115,20207.8170509479,True,n100_g0_e0.05,14
332,1,3,0.0024431887670715,0.204392028538411,0.0433206414385751,20253.9056343992,True,n100_g0_e0.05,15
73,1,3,0.0023814992776947,0.272492075359037,0.0448308632555795,19810.1262817808,True,n100_g0_e0.05,16
183,1,3,0.00254532823770508,-0.00907635951898526,0.0603041523412688,20648.2674277018,True,n100_g0_e0.05,17
82,1,3,0.00251864701364443,-0.0958740419424897,0.0523272244882991,20161.4569594636,True,n100_g0_e0.05,18
194,1,3,0.00250376499848509,-0.183559607761103,0.0387328246341857,19809.685240118,True,n100_g0_e0.05,19
389,1,3,0.00253409331347549,-0.0788949225500064,0.0567344209093455,20311.2476412883,True,n100_g0_e0.05,1
258,1,3,0.00252095048353123,-0.0273518661297556,0.0478222659934837,20416.8974209612,True,n100_g0_e0.05,20
308,1,3,0.00256022599754144,-0.156372757242754,0.0547028702257089,20347.1407220424,True,n100_g0_e0.05,21
298,1,3,0.00251481732854413,-0.115504844499541,0.0523586090220134,20046.7337584467,True,n100_g0_e0.05,22
248,1,3,0.00246309846500658,0.0618620806779151,0.0517446855228254,20063.6107723958,True,n100_g0_e0.05,23
293,1,3,0.00238920556934858,0.123493167295266,0.0349063885406557,19549.9473300256,True,n100_g0_e0.05,24
411,1,3,0.00248103422386169,0.0590455396755307,0.0541385199496701,20236.194022662,True,n100_g0_e0.05,25
477,1,3,0.0025374484735207,-0.252407109581999,0.055977485558374,19929.6786282383,True,n100_g0_e0.05,26
193,1,3,0.00243978282170814,0.185113235432262,0.0431817821498874,20184.5837226561,True,n100_g0_e0.05,27
122,1,3,0.0024845104694951,0.171525040783047,0.0329985430525185,20623.4944820757,True,n100_g0_e0.05,28
94,1,3,0.00248623500585823,0.265245010733617,0.0402987908461094,20889.8693100328,True,n100_g0_e0.05,29
443,1,3,0.00236723270045854,0.319618275213058,0.0416390738076236,19787.1619481259,True,n100_g0_e0.05,2
496,1,3,0.00253409755395485,-0.12294521146224,0.0447287661420119,20238.0783126991,True,n100_g0_e0.05,30
445,1,3,0.00252810752769279,-0.137757144829819,0.0378785363744469,20146.8269803333,True,n100_g0_e0.05,31
49,1,3,0.00248077107917828,0.0467678977895677,0.0440157084395426,20223.72223847,True,n100_g0_e0.05,32
101,1,3,0.00255689789958397,0.0336397677597784,0.0428259236704225,20922.3178904631,True,n100_g0_e0.05,33
191,1,3,0.00250202831677943,0.00946098620598691,0.0509862513434993,20291.6681170511,True,n100_g0_e0.05,34
105,1,3,0.00247642054881271,0.124464320643745,0.0357671503547005,20409.7285924897,True,n100_g0_e0.05,35
227,1,3,0.00259145534081122,-0.0857455886941679,0.0550419307067475,20843.7008114657,True,n100_g0_e0.05,36
230,1,3,0.00258617533272586,-0.230024329301883,0.0621334081459319,20405.2206023473,True,n100_g0_e0.05,37
304,1,3,0.00249822058506635,0.0884122386424857,0.0555450973318164,20445.4777455731,True,n100_g0_e0.05,38
346,1,3,0.00246997619208535,-0.0805841275102622,0.0532858759306545,19735.330516797,True,n100_g0_e0.05,39
44,1,3,0.00246256855887941,0.135314226451397,0.0389078349925338,20319.2438158064,True,n100_g0_e0.05,3
304,1,3,0.0024316749685918,0.133456772759503,0.0430760108124669,19919.5748518133,True,n100_g0_e0.05,40
302,1,3,0.00257147277447427,-0.0796892725730569,0.0461050174547846,20755.6871130751,True,n100_g0_e0.05,41
253,1,3,0.00255557569864313,-0.311914915174204,0.0575903094463931,19872.193840821,True,n100_g0_e0.05,42
174,1,3,0.00255507008919524,-0.0389436913227076,0.0590505226842987,20598.2080853182,True,n100_g0_e0.05,43
108,1,3,0.00255689346983597,-0.16090181666922,0.0652988424920968,20280.7557241321,True,n100_g0_e0.05,44
416,1,3,0.00256179609620908,-0.221056679246171,0.0561837925590628,20201.138862755,True,n100_g0_e0.05,45
411,1,3,0.00250769823784157,0.0491632205145529,0.05580442107447,20414.7408015938,True,n100_g0_e0.05,46
106,1,3,0.00254237536872868,-0.214008517166971,0.0756543121083084,19944.2490133935,True,n100_g0_e0.05,47
121,1,3,0.00258847880547466,-0.251217764203176,0.0603279954021558,20342.6009253591,True,n100_g0_e0.05,48
433,1,3,0.00252090776239389,-0.257929658276706,0.065115770441779,19629.0266684587,True,n100_g0_e0.05,49
491,1,3,0.00247770272497045,0.0940642576229754,0.0532225522998844,20252.5836285675,True,n100_g0_e0.05,4
111,1,3,0.00251322986471532,-0.0107408664978068,0.0588260102955134,20303.6486313327,True,n100_g0_e0.05,50
440,1,3,0.00240715298928493,0.340762045870307,0.0303582896387743,20345.8699858447,True,n100_g0_e0.05,51
233,1,3,0.00244673246777501,0.322277915946096,0.0378669647490795,20622.7057856437,True,n100_g0_e0.05,52
500,1,3,0.00242814541056172,0.0933472676191009,0.0387757097577892,19823.8950314644,True,n100_g0_e0.05,53
104,1,3,0.00231965518050359,0.413449819390766,0.0354183593008405,19608.7022884986,True,n100_g0_e0.05,54
101,1,3,0.00258918891435816,-0.12923899914103,0.0628328539128288,20717.0724446193,True,n100_g0_e0.05,55
69,1,3,0.00238276946264243,0.336702359936818,0.048021771966177,19973.7417252103,True,n100_g0_e0.05,56
329,1,3,0.00235223612004833,0.475509474043013,0.0433488950041427,20008.7459845893,True,n100_g0_e0.05,57
314,1,3,0.00256167432947446,-0.198878978495407,0.0413576621586632,20355.676378332,True,n100_g0_e0.05,58
233,1,3,0.00255372397423,-0.0566714933197836,0.0451146802593186,20665.7391769055,True,n100_g0_e0.05,59
152,1,3,0.00252189604186372,0.0913617780718591,0.0438798350104643,20749.97595642,True,n100_g0_e0.05,5
223,1,3,0.0024035082443082,0.124433033377664,0.051367931065738,19612.1583927199,True,n100_g0_e0.05,60
278,1,3,0.00244371027849375,0.0123597813437445,0.0557521670227132,19697.0820739302,True,n100_g0_e0.05,61
242,1,3,0.00258902279113362,-0.143116742550638,0.0561548377730754,20695.9293880943,True,n100_g0_e0.05,62
211,1,3,0.0025775083148523,-0.32919497034797,0.0445388409531873,20087.9269339647,True,n100_g0_e0.05,63
77,1,3,0.00253974085508126,-0.217081476002101,0.0584477232579244,19990.9214566825,True,n100_g0_e0.05,64
469,1,3,0.0025091737322157,-0.146307944191295,0.0525779285155002,19923.2712427246,True,n100_g0_e0.05,65
295,1,3,0.00251220183036369,-0.00753602415031363,0.0467098387652499,20345.7824125153,True,n100_g0_e0.05,66
11,1,3,0.00264624631122899,-0.276512086173736,0.0707542534424757,20765.2313927226,True,n100_g0_e0.05,67
109,1,3,0.00244518144894233,0.167365255394348,0.0411748406829987,20208.9520013635,True,n100_g0_e0.05,68
124,1,3,0.00251037969225038,-0.0814658800065886,0.0441800240154448,20153.5872086465,True,n100_g0_e0.05,69
209,1,3,0.00240821734086939,0.0490007064622402,0.0409818351475563,19526.0965415624,True,n100_g0_e0.05,6
274,1,3,0.00246159839203455,-0.0239511613641198,0.0569824811502971,19795.6550549631,True,n100_g0_e0.05,70
225,1,3,0.00253945753006622,-0.130092896665394,0.0473853049314831,20250.419738511,True,n100_g0_e0.05,71
340,1,3,0.00241856897904915,0.194045342571214,0.0462707195188233,19962.4791943932,True,n100_g0_e0.05,72
34,1,3,0.00259057674485291,-0.142352307570715,0.0567899129913722,20679.5680560588,True,n100_g0_e0.05,73
457,1,3,0.00251770545375365,-0.0209709014031212,0.0618388306594808,20325.0469199987,True,n100_g0_e0.05,74
278,1,3,0.00251133615958529,0.156229006582483,0.0554867327005733,20754.6112980372,True,n100_g0_e0.05,75
129,1,3,0.00242293320025462,-0.000848250869105155,0.0549716272146844,19490.2573677664,True,n100_g0_e0.05,76
435,1,3,0.00253839789554972,-0.108550276841424,0.049437127813092,20312.8305763441,True,n100_g0_e0.05,77
149,1,3,0.00245039628343074,-0.00338225745248732,0.0568869831789074,19732.1796598573,True,n100_g0_e0.05,78
