1214, 603, 472, 346, 316, 270, 258, 264, 226, 232, 225, 247, 248, 236, 296, 285, 341, 350, 470
1225, 623, 464, 375, 327, 284, 266, 233, 251, 263, 258, 235, 238, 265, 259, 316, 319, 312, 449
1128, 631, 470, 353, 335, 303, 274, 260, 234, 239, 243, 225, 238, 247, 264, 282, 329, 417, 420
1166, 635, 471, 330, 310, 280, 255, 212, 220, 241, 247, 228, 242, 259, 258, 310, 332, 372, 485
1263, 620, 439, 386, 310, 259, 235, 229, 245, 222, 232, 225, 251, 252, 270, 300, 322, 375, 479
1241, 656, 464, 384, 317, 253, 275, 232, 235, 243, 241, 264, 268, 283, 257, 319, 340, 386, 455
1153, 650, 448, 376, 312, 299, 259, 257, 261, 221, 235, 245, 238, 261, 274, 342, 393, 384, 494
1143, 669, 443, 393, 352, 295, 285, 269, 229, 234, 259, 218, 243, 240, 293, 341, 392, 370, 469
1130, 641, 507, 377, 304, 280, 238, 278, 207, 213, 219, 240, 248, 295, 291, 325, 354, 369, 501
1197, 687, 415, 355, 324, 283, 294, 243, 255, 252, 215, 282, 255, 275, 271, 285, 345, 415, 466
1260, 649, 444, 356, 320, 293, 266, 231, 235, 246, 245, 239, 215, 275, 291, 302, 337, 377, 421
1240, 621, 431, 370, 308, 242, 239, 251, 227, 221, 214, 269, 265, 254, 255, 302, 377, 381, 465
1222, 636, 450, 407, 348, 294, 263, 251, 248, 245, 230, 240, 244, 249, 284, 283, 355, 402, 497
1170, 636, 466, 350, 305, 288, 274, 264, 236, 235, 224, 237, 274, 286, 274, 303, 349, 369, 510
1196, 673, 443, 374, 306, 279, 260, 263, 255, 244, 236, 258, 244, 264, 302, 331, 361, 395, 490
1238, 645, 515, 353, 289, 285, 258, 245, 250, 263, 243, 236, 226, 245, 279, 282, 335, 381, 450
1188, 617, 462, 331, 308, 274, 278, 243, 217, 242, 247, 285, 247, 246, 285, 338, 322, 393, 464
1236, 626, 467, 339, 338, 309, 255, 255, 224, 256, 233, 235, 238, 271, 271, 309, 346, 385, 480
1229, 654, 446, 403, 314, 280, 280, 266, 233, 241, 228, 237, 255, 267, 296, 300, 343, 360, 453
1182, 613, 472, 358, 313, 278, 252, 261, 240, 250, 265, 234, 237, 282, 270, 294, 343, 394, 492
1296, 660, 421, 338, 302, 313, 262, 237, 241, 247, 222, 243, 261, 268, 259, 328, 340, 411, 481
1142, 646, 456, 366, 314, 289, 272, 241, 243, 225, 239, 246, 239, 277, 285, 309, 363, 366, 461
1188, 627, 463, 381, 314, 314, 245, 241, 255, 223, 259, 246, 219, 253, 300, 303, 325, 366, 473
1187, 655, 419, 392, 331, 283, 234, 242, 235, 200, 225, 239, 230, 250, 279, 257, 346, 391, 446
1273, 647, 489, 380, 309, 292, 224, 248, 250, 264, 210, 224, 277, 276, 307, 294, 375, 368, 474
1175, 625, 445, 407, 325, 275, 242, 253, 222, 239, 241, 284, 258, 277, 282, 305, 316, 355, 453
1198, 693, 497, 388, 300, 278, 258, 248, 206, 248, 225, 257, 222, 269, 289, 325, 367, 376, 431
1151, 631, 466, 370, 313, 291, 272, 252, 223, 233, 231, 244, 271, 293, 325, 294, 329, 395, 466
1219, 681, 464, 373, 301, 267, 279, 273, 222, 218, 223, 241, 241, 247, 266, 299, 327, 384, 475
1208, 702, 430, 380, 309, 264, 254, 250, 231, 252, 221, 248, 266, 275, 281, 321, 347, 396, 454
1187, 621, 473, 398, 280, 295, 267, 294, 242, 236, 254, 269, 234, 252, 313, 272, 332, 359, 464
1227, 673, 452, 358, 302, 271, 290, 245, 216, 257, 239, 238, 258, 246, 294, 306, 317, 358, 492
1206, 646, 459, 407, 328, 274, 257, 241, 237, 235, 250, 241, 257, 274, 299, 305, 317, 355, 486
1199, 664, 484, 376, 319, 286, 245, 236, 260, 242, 241, 257, 234, 246, 269, 292, 339, 381, 490
1253, 606, 467, 398, 326, 278, 251, 230, 239, 252, 224, 260, 261, 261, 273, 301, 359, 399, 435
1276, 637, 488, 319, 344, 279, 283, 249, 224, 210, 234, 258, 266, 285, 232, 309, 343, 369, 439
1231, 673, 449, 363, 310, 291, 279, 245, 227, 244, 262, 230, 241, 250, 282, 310, 329, 427, 466
1247, 692, 479, 344, 302, 281, 264, 228, 243, 256, 249, 238, 263, 252, 283, 345, 357, 381, 448
1213, 653, 456, 380, 353, 299, 255, 249, 238, 237, 223, 229, 256, 269, 284, 321, 344, 380, 457
1195, 666, 447, 356, 322, 302, 281, 232, 245, 214, 252, 230, 251, 270, 312, 285, 318, 388, 487
1178, 685, 476, 384, 301, 294, 251, 226, 239, 222, 225, 260, 252, 270, 275, 295, 334, 412, 481
1198, 668, 462, 366, 322, 284, 250, 218, 235, 222, 220, 246, 260, 250, 298, 307, 350, 401, 476
1244, 674, 437, 374, 329, 288, 250, 257, 225, 231, 236, 277, 288, 280, 290, 300, 370, 412, 435
1133, 617, 449, 381, 302, 280, 275, 248, 217, 225, 222, 277, 244, 244, 282, 318, 283, 376, 438
1212, 606, 466, 332, 293, 301, 280, 216, 239, 224, 246, 241, 214, 253, 277, 300, 360, 354, 468
1134, 628, 475, 338, 328, 281, 265, 245, 235, 223, 218, 225, 258, 272, 284, 307, 350, 353, 451
1177, 605, 462, 373, 318, 249, 280, 250, 270, 233, 245, 248, 229, 267, 253, 311, 345, 384, 444
1204, 652, 433, 370, 305, 269, 242, 244, 232, 234, 232, 225, 260, 246, 287, 300, 350, 382, 451
1169, 636, 487, 340, 309, 285, 245, 251, 253, 229, 240, 230, 243, 247, 292, 327, 361, 378, 438
1235, 619, 435, 383, 333, 288, 275, 249, 235, 242, 223, 253, 239, 271, 258, 305, 308, 380, 464
1236, 630, 462, 338, 318, 283, 256, 239, 247, 224, 225, 239, 267, 261, 278, 299, 379, 415, 455
1248, 647, 470, 394, 311, 292, 267, 267, 258, 251, 227, 219, 220, 282, 311, 309, 370, 406, 438
1196, 646, 459, 372, 283, 305, 236, 257, 233, 231, 228, 248, 241, 288, 252, 347, 355, 381, 439
1229, 708, 474, 392, 314, 260, 269, 254, 242, 227, 228, 239, 250, 273, 275, 305, 344, 440, 470
1164, 682, 441, 381, 285, 317, 245, 244, 222, 219, 237, 235, 257, 252, 298, 335, 343, 375, 461
